id,code,name,reconcile,account_type,chart_template_id:id
co_puc_234500,234500,"[Liabilities] Payables - Official creditors",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_235000,235000,"[Liabilities] Payables - Royalties",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_235500,235500,"[Liabilities] Payables - Debts with shareholders and partners",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_235700,235700,"[Liabilities] Payables - Debts with directors",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_236000,236000,"[Liabilities] Payables - Dividends or shares",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_236500,236500,"[Liabilities] Payables - Withheld at source",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_236700,236700,"[Liabilities] Payables - Sales tax withheld",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_236800,236800,"[Liabilities] Payables - Industry and commerce tax withheld",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_237000,237000,"[Liabilities] Payables - Payroll withholdings and contributions",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_237500,237500,"[Liabilities] Payables - Fees",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_238000,238000,"[Liabilities] Payables - Other creditors",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_240400,240400,"[Liabilities] Taxes and fees - On rent and complementary",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_240800,240800,"[Liabilities] Taxes and fees - Sales tax payable",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_240805,240805,"[Liabilities] Taxes and fees - VAT Payable",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_241200,241200,"[Liabilities] Taxes and fees - On industry and commerce",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_241600,241600,"[Liabilities] Taxes and fees - To the head company",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_242000,242000,"[Liabilities] Taxes and fees - Rights on public instruments",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_242400,242400,"[Liabilities] Taxes and fees - On valuation",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_242800,242800,"[Liabilities] Taxes and fees - For tourism",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_243200,243200,"[Liabilities] Taxes and fees - For ports utilization",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_243600,243600,"[Liabilities] Taxes and fees - On vehicles",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_244000,244000,"[Liabilities] Taxes and fees - On public shows",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_244400,244400,"[Liabilities] Taxes and fees - On hydrocarbons and mines",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_244800,244800,"[Liabilities] Taxes and fees - Royalties and taxes on small and medium mining",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_245200,245200,"[Liabilities] Taxes and fees - On coffee exports",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_245600,245600,"[Liabilities] Taxes and fees - On imports",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_246000,246000,"[Liabilities] Taxes and fees - Development quotas",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_246400,246400,"[Liabilities] Taxes and fees - On liquors, beers and cigarettes",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_246800,246800,"[Liabilities] Taxes and fees - On cattle sacrifice",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_247200,247200,"[Liabilities] Taxes and fees - On gambling and games",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_247600,247600,"[Liabilities] Taxes and fees - Taxes and royalties for land use",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_249500,249500,"[Liabilities] Taxes and fees - Others",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_250500,250500,"[Liabilities] Laboral obligations - Wages payable",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_251000,251000,"[Liabilities] Laboral obligations - Consolidated layoffs",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_251500,251500,"[Liabilities] Laboral obligations - Interest on severance pay",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_252000,252000,"[Liabilities] Laboral obligations - Service bonus",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_252500,252500,"[Liabilities] Laboral obligations - Consolidated vacations",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_253000,253000,"[Liabilities] Laboral obligations - Extralegal benefits",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_253200,253200,"[Liabilities] Laboral obligations - Payable pensions",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_253500,253500,"[Liabilities] Laboral obligations - Retirement pensions and installments",FALSE,liability_current,l10n_co_chart_template_generic
