id,code_prefix_start,code_prefix_end,name,chart_template_id/id
pcg_group_538,538,,"Autres organismes financiers",l10n_syscohada.syscohada_chart_template
pcg_group_54,54,,"Instruments de trésorerie",l10n_syscohada.syscohada_chart_template
pcg_group_541,541,,"Option de taux d'intérêt",l10n_syscohada.syscohada_chart_template
pcg_group_542,542,,"Option de taux de change",l10n_syscohada.syscohada_chart_template
pcg_group_543,543,,"Option de taux boursiers",l10n_syscohada.syscohada_chart_template
pcg_group_544,544,,"Instruments de marchés à terme",l10n_syscohada.syscohada_chart_template
pcg_group_545,545,,"Avoirs d'or et autres métaux précieux",l10n_syscohada.syscohada_chart_template
pcg_group_55,55,,"Instruments de monnaie électronique",l10n_syscohada.syscohada_chart_template
pcg_group_551,551,,"Monnaie électronique - carte carburant",l10n_syscohada.syscohada_chart_template
pcg_group_552,552,,"Monnaie électronique - téléphone portable",l10n_syscohada.syscohada_chart_template
