"id","name","applicability"
"account_tag_external_code_4489","4489","accounts"
"account_tag_external_code_4490","4490","accounts"
"account_tag_external_code_4500","4500","accounts"
"account_tag_external_code_4510","4510","accounts"
"account_tag_external_code_4520","4520","accounts"
"account_tag_external_code_4580","4580","accounts"
"account_tag_external_code_4600","4600","accounts"
"account_tag_external_code_4605","4605","accounts"
"account_tag_external_code_4610","4610","accounts"
"account_tag_external_code_4630","4630","accounts"
"account_tag_external_code_4631","4631","accounts"
"account_tag_external_code_4660","4660","accounts"
"account_tag_external_code_4700","4700","accounts"
"account_tag_external_code_4701","4701","accounts"
"account_tag_external_code_4702","4702","accounts"
"account_tag_external_code_4705","4705","accounts"
"account_tag_external_code_4709","4709","accounts"
"account_tag_external_code_4800","4800","accounts"
"account_tag_external_code_4810","4810","accounts"
"account_tag_external_code_4820","4820","accounts"
"account_tag_external_code_4826","4826","accounts"
"account_tag_external_code_4829","4829","accounts"
"account_tag_external_code_4830","4830","accounts"
"account_tag_external_code_4831","4831","accounts"
"account_tag_external_code_4835","4835","accounts"
"account_tag_external_code_4840","4840","accounts"
"account_tag_external_code_4850","4850","accounts"
"account_tag_external_code_4851","4851","accounts"
"account_tag_external_code_4852","4852","accounts"
"account_tag_external_code_4855","4855","accounts"
"account_tag_external_code_4860","4860","accounts"
"account_tag_external_code_4865","4865","accounts"
"account_tag_external_code_4866","4866","accounts"
"account_tag_external_code_4867","4867","accounts"
"account_tag_external_code_4870","4870","accounts"
"account_tag_external_code_4871","4871","accounts"
"account_tag_external_code_4872","4872","accounts"
"account_tag_external_code_4875","4875","accounts"
"account_tag_external_code_4880","4880","accounts"
"account_tag_external_code_4881","4881","accounts"
"account_tag_external_code_4882","4882","accounts"
"account_tag_external_code_4885","4885","accounts"
"account_tag_external_code_4900","4900","accounts"
"account_tag_external_code_4901","4901","accounts"
"account_tag_external_code_4902","4902","accounts"
"account_tag_external_code_4903","4903","accounts"
"account_tag_external_code_4940","4940","accounts"
"account_tag_external_code_4941","4941","accounts"
"account_tag_external_code_4942","4942","accounts"
"account_tag_external_code_4943","4943","accounts"
"account_tag_external_code_4980","4980","accounts"
"account_tag_external_code_4981","4981","accounts"
"account_tag_external_code_4982","4982","accounts"
"account_tag_external_code_4983","4983","accounts"
"account_tag_external_code_4995","4995","accounts"
"account_tag_external_code_4999","4999","accounts"
"account_tag_external_code_5000","5000","accounts"
