"id","code","name","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"l10n_si_170","170","Kratkoročne finančne naložbe v delnice in deleže organizacij v skupini, razporejene in izmerjene po nabavni vrednosti","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_171","171","Kratkoročne finančne naložbe v delnice in deleže družb v skupini, razporejene in izmerjene po pošteni vrednosti prek poslovnega izida","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_172","172","Kratkoročne finančne naložbe v delnice in deleže družb v skupini, razporejene in izmerjene po pošteni vrednosti prek kapitala","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_173","173","Kratkoročne finančne naložbe v delnice in deleže pridruženih organizacij in skupaj obvladovanih organizacij, razporejene in izmerjene po nabavni vrednosti","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_176","176","Druge kratkoročne finančne naložbe, razporejene in izmerjene po nabavni vrednosti","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_177","177","Druge kratkoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek poslovnega izida","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_178","178","Druge kratkoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek kapitala oziroma lastnega vira sredstev","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_179","179","Oslabitev vrednosti kratkoročnih finančnih naložb","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_180","180","Kratkoročna posojila, dana na podlagi posojilnih pogodb organizacijam v skupini","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_181","181","Kratkoročna posojila, dana na podlagi posojilnih pogodb pridruženim organizacijam in skupaj obvladovanim organizacijam","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_182","182","Kratkoročna posojila, dana drugim, vključno s kratkoročnimi terjatvami iz finančnega najema","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_183","183","Kratkoročni depoziti v bankah in drugih finančnih organizacijah","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_184","184","Dana kratkoročna posojila z odkupom obveznic","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_185","185","Prejete menice","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_186","186","Dana kratkoročna posojila z odkupom drugih dolžniških vrednostnih papirjev","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_187","187","Kratkoročno nevplačani vpoklicani kapital","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_189","189","Oslabitev vrednosti kratkoročnih posojil","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_190","190","Kratkoročno odloženi stroški oziroma odhodki","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_191","191","Kratkoročno nezaračunani prihodki","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_192","192","Vrednotnice","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_195","195","DDV od prejetih predujmov","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_210","210","Obveznosti, vključene v skupine za odtujitev","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
